rx_ts_sec,src_ip,src_port,apid_hex,type,seq,total_bytes,shf,sec_mode,sec_len,mic_state,mic_value,user_len,note
1761179345.444595,127.0.0.1,49482,0x0b3,TC,0,144,1,ns8,8,none,,130,
1761179345.446750,127.0.0.1,49482,0x07f,TM,0,70,1,fixed:8,8,none,,56,
1761179345.449011,127.0.0.1,49482,0x0b3,TC,1,144,1,ns8,8,none,,130,
1761179345.451089,127.0.0.1,49482,0x07f,TM,1,70,1,fixed:8,8,none,,56,
1761179345.453179,127.0.0.1,49482,0x0b3,TC,2,144,1,ns8,8,none,,130,
1761179345.455291,127.0.0.1,49482,0x07f,TM,2,70,1,fixed:8,8,none,,56,
1761179345.457381,127.0.0.1,49482,0x0b3,TC,3,144,1,ns8,8,none,,130,
1761179345.459596,127.0.0.1,49482,0x07f,TM,3,70,1,fixed:8,8,none,,56,
1761179345.461764,127.0.0.1,49482,0x0b3,TC,4,144,1,ns8,8,none,,130,
1761179345.463933,127.0.0.1,49482,0x07f,TM,4,70,1,fixed:8,8,none,,56,
1761179345.466000,127.0.0.1,49482,0x0b3,TC,5,144,1,ns8,8,none,,130,
1761179345.468121,127.0.0.1,49482,0x07f,TM,5,70,1,fixed:8,8,none,,56,
1761179345.470221,127.0.0.1,49482,0x0b3,TC,6,144,1,ns8,8,none,,130,
1761179345.472353,127.0.0.1,49482,0x07f,TM,6,70,1,fixed:8,8,none,,56,
1761179345.474527,127.0.0.1,49482,0x0b3,TC,7,144,1,ns8,8,none,,130,
1761179345.476583,127.0.0.1,49482,0x07f,TM,7,70,1,fixed:8,8,none,,56,
1761179345.478691,127.0.0.1,49482,0x0b3,TC,8,144,1,ns8,8,none,,130,
1761179345.480847,127.0.0.1,49482,0x07f,TM,8,70,1,fixed:8,8,none,,56,
1761179345.483048,127.0.0.1,49482,0x0b3,TC,9,144,1,ns8,8,none,,130,
1761179345.485147,127.0.0.1,49482,0x07f,TM,9,70,1,fixed:8,8,none,,56,
1761179345.487275,127.0.0.1,49482,0x0b3,TC,10,144,1,ns8,8,none,,130,
1761179345.489417,127.0.0.1,49482,0x07f,TM,10,70,1,fixed:8,8,none,,56,
1761179345.491536,127.0.0.1,49482,0x0b3,TC,11,144,1,ns8,8,none,,130,
1761179345.493651,127.0.0.1,49482,0x07f,TM,11,70,1,fixed:8,8,none,,56,
1761179345.495728,127.0.0.1,49482,0x0b3,TC,12,144,1,ns8,8,none,,130,
1761179345.497869,127.0.0.1,49482,0x07f,TM,12,70,1,fixed:8,8,none,,56,
1761179345.499932,127.0.0.1,49482,0x0b3,TC,13,144,1,ns8,8,none,,130,
1761179345.502052,127.0.0.1,49482,0x07f,TM,13,70,1,fixed:8,8,none,,56,
1761179345.504163,127.0.0.1,49482,0x0b3,TC,14,144,1,ns8,8,none,,130,
1761179345.506282,127.0.0.1,49482,0x07f,TM,14,70,1,fixed:8,8,none,,56,
1761179345.508405,127.0.0.1,49482,0x0b3,TC,15,144,1,ns8,8,none,,130,
1761179345.510623,127.0.0.1,49482,0x07f,TM,15,70,1,fixed:8,8,none,,56,
1761179345.512969,127.0.0.1,49482,0x0b3,TC,16,144,1,ns8,8,none,,130,
1761179345.515101,127.0.0.1,49482,0x07f,TM,16,70,1,fixed:8,8,none,,56,
1761179345.517206,127.0.0.1,49482,0x0b3,TC,17,144,1,ns8,8,none,,130,
1761179345.519391,127.0.0.1,49482,0x07f,TM,17,70,1,fixed:8,8,none,,56,
1761179345.521521,127.0.0.1,49482,0x0b3,TC,18,144,1,ns8,8,none,,130,
1761179345.523630,127.0.0.1,49482,0x07f,TM,18,70,1,fixed:8,8,none,,56,
1761179345.525658,127.0.0.1,49482,0x0b3,TC,19,144,1,ns8,8,none,,130,
1761179345.527805,127.0.0.1,49482,0x07f,TM,19,70,1,fixed:8,8,none,,56,
1761179345.529975,127.0.0.1,49482,0x0b3,TC,20,144,1,ns8,8,none,,130,
1761179345.532116,127.0.0.1,49482,0x07f,TM,20,70,1,fixed:8,8,none,,56,
1761179345.534250,127.0.0.1,49482,0x0b3,TC,21,144,1,ns8,8,none,,130,
1761179345.536391,127.0.0.1,49482,0x07f,TM,21,70,1,fixed:8,8,none,,56,
