profile,apid_hex,type,seq,len_total,mic,sent_bytes
CFDP_META,0x0B3,TC,0,144,,144
HK_TLM_TINY,0x07F,TM,0,70,,70
CFDP_META,0x0B3,TC,1,144,,144
HK_TLM_TINY,0x07F,TM,1,70,,70
CFDP_META,0x0B3,TC,2,144,,144
HK_TLM_TINY,0x07F,TM,2,70,,70
CFDP_META,0x0B3,TC,3,144,,144
HK_TLM_TINY,0x07F,TM,3,70,,70
CFDP_META,0x0B3,TC,4,144,,144
HK_TLM_TINY,0x07F,TM,4,70,,70
CFDP_META,0x0B3,TC,5,144,,144
HK_TLM_TINY,0x07F,TM,5,70,,70
CFDP_META,0x0B3,TC,6,144,,144
HK_TLM_TINY,0x07F,TM,6,70,,70
CFDP_META,0x0B3,TC,7,144,,144
HK_TLM_TINY,0x07F,TM,7,70,,70
CFDP_META,0x0B3,TC,8,144,,144
HK_TLM_TINY,0x07F,TM,8,70,,70
CFDP_META,0x0B3,TC,9,144,,144
HK_TLM_TINY,0x07F,TM,9,70,,70
CFDP_META,0x0B3,TC,10,144,,144
HK_TLM_TINY,0x07F,TM,10,70,,70
CFDP_META,0x0B3,TC,11,144,,144
HK_TLM_TINY,0x07F,TM,11,70,,70
CFDP_META,0x0B3,TC,12,144,,144
HK_TLM_TINY,0x07F,TM,12,70,,70
CFDP_META,0x0B3,TC,13,144,,144
HK_TLM_TINY,0x07F,TM,13,70,,70
CFDP_META,0x0B3,TC,14,144,,144
HK_TLM_TINY,0x07F,TM,14,70,,70
CFDP_META,0x0B3,TC,15,144,,144
HK_TLM_TINY,0x07F,TM,15,70,,70
CFDP_META,0x0B3,TC,16,144,,144
HK_TLM_TINY,0x07F,TM,16,70,,70
CFDP_META,0x0B3,TC,17,144,,144
HK_TLM_TINY,0x07F,TM,17,70,,70
CFDP_META,0x0B3,TC,18,144,,144
HK_TLM_TINY,0x07F,TM,18,70,,70
CFDP_META,0x0B3,TC,19,144,,144
HK_TLM_TINY,0x07F,TM,19,70,,70
CFDP_META,0x0B3,TC,20,144,,144
HK_TLM_TINY,0x07F,TM,20,70,,70
CFDP_META,0x0B3,TC,21,144,,144
HK_TLM_TINY,0x07F,TM,21,70,,70
CFDP_META,0x0B3,TC,22,144,,144
HK_TLM_TINY,0x07F,TM,22,70,,70
CFDP_META,0x0B3,TC,23,144,,144
HK_TLM_TINY,0x07F,TM,23,70,,70
CFDP_META,0x0B3,TC,24,144,,144
HK_TLM_TINY,0x07F,TM,24,70,,70
CFDP_META,0x0B3,TC,25,144,,144
HK_TLM_TINY,0x07F,TM,25,70,,70
CFDP_META,0x0B3,TC,26,144,,144
HK_TLM_TINY,0x07F,TM,26,70,,70
CFDP_META,0x0B3,TC,27,144,,144
HK_TLM_TINY,0x07F,TM,27,70,,70
CFDP_META,0x0B3,TC,28,144,,144
HK_TLM_TINY,0x07F,TM,28,70,,70
CFDP_META,0x0B3,TC,29,144,,144
HK_TLM_TINY,0x07F,TM,29,70,,70
CFDP_META,0x0B3,TC,30,144,,144
HK_TLM_TINY,0x07F,TM,30,70,,70
CFDP_META,0x0B3,TC,31,144,,144
HK_TLM_TINY,0x07F,TM,31,70,,70
CFDP_META,0x0B3,TC,32,144,,144
HK_TLM_TINY,0x07F,TM,32,70,,70
CFDP_META,0x0B3,TC,33,144,,144
HK_TLM_TINY,0x07F,TM,33,70,,70
CFDP_META,0x0B3,TC,34,144,,144
HK_TLM_TINY,0x07F,TM,34,70,,70
CFDP_META,0x0B3,TC,35,144,,144
HK_TLM_TINY,0x07F,TM,35,70,,70
CFDP_META,0x0B3,TC,36,144,,144
HK_TLM_TINY,0x07F,TM,36,70,,70
CFDP_META,0x0B3,TC,37,144,,144
HK_TLM_TINY,0x07F,TM,37,70,,70
CFDP_META,0x0B3,TC,38,144,,144
HK_TLM_TINY,0x07F,TM,38,70,,70
CFDP_META,0x0B3,TC,39,144,,144
HK_TLM_TINY,0x07F,TM,39,70,,70
CFDP_META,0x0B3,TC,40,144,,144
HK_TLM_TINY,0x07F,TM,40,70,,70
CFDP_META,0x0B3,TC,41,144,,144
HK_TLM_TINY,0x07F,TM,41,70,,70
CFDP_META,0x0B3,TC,42,144,,144
HK_TLM_TINY,0x07F,TM,42,70,,70
CFDP_META,0x0B3,TC,43,144,,144
HK_TLM_TINY,0x07F,TM,43,70,,70
CFDP_META,0x0B3,TC,44,144,,144
HK_TLM_TINY,0x07F,TM,44,70,,70
CFDP_META,0x0B3,TC,45,144,,144
HK_TLM_TINY,0x07F,TM,45,70,,70
CFDP_META,0x0B3,TC,46,144,,144
HK_TLM_TINY,0x07F,TM,46,70,,70
CFDP_META,0x0B3,TC,47,144,,144
HK_TLM_TINY,0x07F,TM,47,70,,70
CFDP_META,0x0B3,TC,48,144,,144
HK_TLM_TINY,0x07F,TM,48,70,,70
CFDP_META,0x0B3,TC,49,144,,144
HK_TLM_TINY,0x07F,TM,49,70,,70
CFDP_META,0x0B3,TC,50,144,,144
HK_TLM_TINY,0x07F,TM,50,70,,70
CFDP_META,0x0B3,TC,51,144,,144
HK_TLM_TINY,0x07F,TM,51,70,,70
CFDP_META,0x0B3,TC,52,144,,144
HK_TLM_TINY,0x07F,TM,52,70,,70
CFDP_META,0x0B3,TC,53,144,,144
HK_TLM_TINY,0x07F,TM,53,70,,70
CFDP_META,0x0B3,TC,54,144,,144
HK_TLM_TINY,0x07F,TM,54,70,,70
CFDP_META,0x0B3,TC,55,144,,144
HK_TLM_TINY,0x07F,TM,55,70,,70
CFDP_META,0x0B3,TC,56,144,,144
HK_TLM_TINY,0x07F,TM,56,70,,70
CFDP_META,0x0B3,TC,57,144,,144
HK_TLM_TINY,0x07F,TM,57,70,,70
CFDP_META,0x0B3,TC,58,144,,144
HK_TLM_TINY,0x07F,TM,58,70,,70
CFDP_META,0x0B3,TC,59,144,,144
HK_TLM_TINY,0x07F,TM,59,70,,70
CFDP_META,0x0B3,TC,60,144,,144
HK_TLM_TINY,0x07F,TM,60,70,,70
CFDP_META,0x0B3,TC,61,144,,144
HK_TLM_TINY,0x07F,TM,61,70,,70
CFDP_META,0x0B3,TC,62,144,,144
HK_TLM_TINY,0x07F,TM,62,70,,70
CFDP_META,0x0B3,TC,63,144,,144
HK_TLM_TINY,0x07F,TM,63,70,,70
CFDP_META,0x0B3,TC,64,144,,144
HK_TLM_TINY,0x07F,TM,64,70,,70
CFDP_META,0x0B3,TC,65,144,,144
HK_TLM_TINY,0x07F,TM,65,70,,70
CFDP_META,0x0B3,TC,66,144,,144
HK_TLM_TINY,0x07F,TM,66,70,,70
CFDP_META,0x0B3,TC,67,144,,144
HK_TLM_TINY,0x07F,TM,67,70,,70
CFDP_META,0x0B3,TC,68,144,,144
HK_TLM_TINY,0x07F,TM,68,70,,70
CFDP_META,0x0B3,TC,69,144,,144
HK_TLM_TINY,0x07F,TM,69,70,,70
CFDP_META,0x0B3,TC,70,144,,144
HK_TLM_TINY,0x07F,TM,70,70,,70
CFDP_META,0x0B3,TC,71,144,,144
HK_TLM_TINY,0x07F,TM,71,70,,70
CFDP_META,0x0B3,TC,72,144,,144
HK_TLM_TINY,0x07F,TM,72,70,,70
CFDP_META,0x0B3,TC,73,144,,144
HK_TLM_TINY,0x07F,TM,73,70,,70
CFDP_META,0x0B3,TC,74,144,,144
HK_TLM_TINY,0x07F,TM,74,70,,70
CFDP_META,0x0B3,TC,75,144,,144
HK_TLM_TINY,0x07F,TM,75,70,,70
CFDP_META,0x0B3,TC,76,144,,144
HK_TLM_TINY,0x07F,TM,76,70,,70
CFDP_META,0x0B3,TC,77,144,,144
HK_TLM_TINY,0x07F,TM,77,70,,70
CFDP_META,0x0B3,TC,78,144,,144
HK_TLM_TINY,0x07F,TM,78,70,,70
CFDP_META,0x0B3,TC,79,144,,144
HK_TLM_TINY,0x07F,TM,79,70,,70
CFDP_META,0x0B3,TC,80,144,,144
HK_TLM_TINY,0x07F,TM,80,70,,70
CFDP_META,0x0B3,TC,81,144,,144
HK_TLM_TINY,0x07F,TM,81,70,,70
CFDP_META,0x0B3,TC,82,144,,144
HK_TLM_TINY,0x07F,TM,82,70,,70
CFDP_META,0x0B3,TC,83,144,,144
HK_TLM_TINY,0x07F,TM,83,70,,70
CFDP_META,0x0B3,TC,84,144,,144
HK_TLM_TINY,0x07F,TM,84,70,,70
CFDP_META,0x0B3,TC,85,144,,144
HK_TLM_TINY,0x07F,TM,85,70,,70
CFDP_META,0x0B3,TC,86,144,,144
HK_TLM_TINY,0x07F,TM,86,70,,70
CFDP_META,0x0B3,TC,87,144,,144
HK_TLM_TINY,0x07F,TM,87,70,,70
CFDP_META,0x0B3,TC,88,144,,144
HK_TLM_TINY,0x07F,TM,88,70,,70
CFDP_META,0x0B3,TC,89,144,,144
HK_TLM_TINY,0x07F,TM,89,70,,70
CFDP_META,0x0B3,TC,90,144,,144
HK_TLM_TINY,0x07F,TM,90,70,,70
CFDP_META,0x0B3,TC,91,144,,144
HK_TLM_TINY,0x07F,TM,91,70,,70
CFDP_META,0x0B3,TC,92,144,,144
HK_TLM_TINY,0x07F,TM,92,70,,70
CFDP_META,0x0B3,TC,93,144,,144
